,unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,latitude,longitude,location
0,62291042,2024-09-01T00:00:00.000,2024-09-01T00:20:58.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11413.0,135-41 223 STREET,223 STREET,135 AVENUE,137 AVENUE,135 AVENUE,137 AVENUE,ADDRESS,SPRINGFIELD GARDENS,223 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2024-09-01T00:21:02.000,13 QUEENS,4131180024.0,QUEENS,1054165.0,185440.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.6753906302629,-73.74794760083083,"
,  
(40.6753906302629, -73.74794760083083)"
1,62291351,2024-08-31T23:59:55.000,2024-09-01T00:40:53.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10461.0,1448 GILLESPIE AVENUE,GILLESPIE AVENUE,HARRINGTON AVENUE,DUDLEY AVENUE,HARRINGTON AVENUE,DUDLEY AVENUE,ADDRESS,BRONX,GILLESPIE AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2024-09-01T00:40:57.000,10 BRONX,,BRONX,1031042.0,245942.0,MOBILE,Unspecified,BRONX,,,,,,,,40.8416052035878,-73.83088758672871,"
,  
(40.8416052035878, -73.83088758672871)"
2,62286256,2024-08-31T23:59:48.000,2024-09-01T01:02:12.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10465.0,646 THROGS NECK EXPRESSWAY SVC RD,THROGS NECK EXPRESSWAY SVC RD,ELLSWORTH AVENUE,RANDALL AVENUE,ELLSWORTH AVENUE,RANDALL AVENUE,ADDRESS,BRONX,THROGS NECK EXPRESSWAY SVC RD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,2024-09-01T01:02:14.000,10 BRONX,2054830021.0,BRONX,1034955.0,240871.0,ONLINE,Unspecified,BRONX,,,,,,,,40.82766520141314,-73.81678386493162,"
,  
(40.82766520141314, -73.81678386493162)"
3,62288818,2024-08-31T23:59:33.000,2024-09-01T00:08:47.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11385.0,59-08 NORMAN STREET,NORMAN STREET,FOREST AVENUE,MYRTLE AVENUE,FOREST AVENUE,MYRTLE AVENUE,ADDRESS,RIDGEWOOD,NORMAN STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2024-09-01T00:08:51.000,05 QUEENS,4035880014.0,QUEENS,1012387.0,194295.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.69992692932664,-73.89852534827892,"
,  
(40.69992692932664, -73.89852534827892)"
4,62289102,2024-08-31T23:59:32.000,2024-09-01T02:35:50.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11214.0,2056 82 STREET,82 STREET,20 AVENUE,21 AVENUE,20 AVENUE,21 AVENUE,ADDRESS,BROOKLYN,82 STREET,,Closed,,The Police Department issued a summons in response to the complaint.,2024-09-01T02:35:54.000,11 BROOKLYN,3063170030.0,BROOKLYN,985727.0,160113.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.60614941265024,-73.99468075842512,"
,  
(40.60614941265024, -73.99468075842512)"
5,62289652,2024-08-31T23:59:30.000,2024-09-01T00:25:22.000,NYPD,New York City Police Department,Illegal Parking,Overnight Commercial Storage,Street/Sidewalk,11201.0,103 WASHINGTON STREET,WASHINGTON STREET,BROOKLYN QUEENS EP EB ET   28 B,PROSPECT STREET,BROOKLYN QUEENS EP EB ET   28 B,PROSPECT STREET,ADDRESS,BROOKLYN,WASHINGTON STREET,,Closed,,The Police Department issued a summons in response to the complaint.,2024-09-01T00:25:27.000,02 BROOKLYN,,BROOKLYN,987107.0,194711.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70111302305257,-73.98969619455666,"
,  
(40.70111302305257, -73.98969619455666)"
6,62285309,2024-08-31T23:59:22.000,2024-09-01T00:40:57.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11420.0,130 PLACE,130 PLACE,130 PLACE,135 ROAD,130 PLACE,135 ROAD,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2024-09-01T00:41:02.000,10 QUEENS,,QUEENS,1037204.0,182599.0,PHONE,Unspecified,QUEENS,Car,,,,,,,40.66771044667783,-73.8091162406683,"
,  
(40.66771044667783, -73.8091162406683)"
7,62289935,2024-08-31T23:59:21.000,2024-09-01T00:22:03.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10016.0,228 EAST   28 STREET,EAST   28 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST   28 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2024-09-01T00:22:07.000,06 MANHATTAN,1009080017.0,MANHATTAN,989852.0,209429.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74150906673551,-73.97978406864988,"
,  
(40.74150906673551, -73.97978406864988)"
8,62288863,2024-08-31T23:59:17.000,2024-09-01T00:19:18.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452.0,1245 GRANDVIEW PLACE,GRANDVIEW PLACE,EAST  167 STREET,EAST  168 STREET,EAST  167 STREET,EAST  168 STREET,ADDRESS,BRONX,GRANDVIEW PLACE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2024-09-01T00:19:22.000,04 BRONX,2024650038.0,BRONX,1007019.0,243735.0,ONLINE,Unspecified,BRONX,,,,,,,,40.83564225022632,-73.91771726788069,"
,  
(40.83564225022632, -73.91771726788069)"
9,62287651,2024-08-31T23:59:15.000,2024-09-01T00:41:19.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10035.0,115 EAST  122 STREET,EAST  122 STREET,PARK AVENUE,LEXINGTON AVENUE,PARK AVENUE,LEXINGTON AVENUE,ADDRESS,NEW YORK,EAST  122 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2024-09-01T00:41:23.000,11 MANHATTAN,1017710010.0,MANHATTAN,1000947.0,231771.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80281801474481,-73.93969005257601,"
,  
(40.80281801474481, -73.93969005257601)"
